,distance [nm],field [T],lock-x [mHz],lock-y [mHz]
0,507.0114,0.4999,5.61859315451,-1.21233231857
1,507.0114,0.5025,5.27961251287,-0.98120419525
2,507.0114,0.5049,5.27201605534,-1.05826127393
3,507.0114,0.5075,5.60789308032,-1.12678588167
4,507.0114,0.51,5.37391950528,-0.915284690559
5,507.0114,0.5125,5.13506005091,-1.16622669387
6,507.0114,0.515,5.02913627532,-1.0804928068
7,507.0114,0.5175,5.10430776674,-1.12954616214
8,507.0114,0.52,5.46565872576,-1.16627906393
9,507.0114,0.5225,4.88807179873,-1.42683852353
10,507.0114,0.525,4.84812566912,-1.26941789627
11,507.0114,0.5275,5.38779149649,-1.24479706303
12,507.0114,0.5301,5.32532376633,-1.4449912648
13,507.0114,0.5325,5.44381363823,-1.37157363303
14,507.0114,0.535,5.15555776601,-1.0126904988
15,507.0114,0.5375,5.00180754639,-1.21641915184
16,507.0114,0.54,4.93333786814,-1.15906732855
17,507.0114,0.5425,5.13149648325,-1.10186177595
18,507.0114,0.545,5.34177624911,-1.35627513866
19,507.0114,0.5475,4.868447328,-1.25150609473
20,507.0114,0.55,5.02966912679,-1.19862413308
21,507.0114,0.5525,4.86648742328,-1.35690969438
22,507.0114,0.5551,5.16516670534,-1.21207308381
23,507.0114,0.5575,5.16899566179,-0.845234646813
24,507.0114,0.5601,5.20019024547,-1.23264715292
25,507.0114,0.5625,4.74425730361,-1.28432801877
26,507.0114,0.565,5.18738200499,-1.4233282296
27,507.0114,0.5675,4.93369956728,-0.784242823122
28,507.0114,0.57,4.91300998224,-0.906211175167
29,507.0114,0.5726,4.86320580363,-1.31898329527
30,507.0114,0.575,5.046251111,-0.920833766537
31,507.0114,0.5775,5.19674696299,-1.37827816897
32,507.0114,0.58,5.10680053264,-1.03713318592
33,507.0114,0.5825,5.02600861602,-0.99220600912
34,507.0114,0.585,5.12892118523,-1.14388566604
35,507.0114,0.5875,4.99825947523,-0.985805021983
36,507.0114,0.59,5.1716848386,-0.96743564464
37,507.0114,0.5926,5.06818990461,-1.21122566514
38,507.0114,0.595,4.91622418345,-0.951734746899
39,507.0114,0.5975,4.85697989382,-0.985804799313
40,507.0114,0.6,5.06494042232,-1.17825055385
41,507.0114,0.6025,4.85551267022,-1.02863571294
42,507.0114,0.605,4.84918609459,-1.20232195835
43,507.0114,0.6075,4.80066967686,-0.804459271613
44,507.0114,0.61,5.22407938447,-1.09284210308
45,507.0114,0.6125,8.62448925868,-1.003188365
46,507.0114,0.615,18.7254703733,-1.35104630779
47,507.0114,0.6175,24.1329180529,-1.11901379148
48,507.0114,0.62,21.2881144684,-1.01870295154
49,507.0114,0.6225,12.1517102589,-0.962123141823
50,507.0114,0.625,0.112562636049,-1.04211928922
51,507.0114,0.6275,-12.9893731979,-1.07562690324
52,507.0114,0.63,-6.9540651264,-1.4187124082
53,507.0114,0.6325,3.05106998682,-1.30767834476
54,507.0114,0.635,8.4265272291,-0.976846552715
55,507.0114,0.6375,10.5140426966,-1.01392009383
56,507.0114,0.64,10.9337104619,-1.36114518628
57,507.0114,0.6425,10.8460114121,-1.2384574159
58,507.0114,0.645,10.9138836953,-1.17683903772
59,507.0114,0.6475,10.2852146895,-1.18124005632
60,507.0114,0.65,9.71499680328,-1.06422677933
61,507.0114,0.6525,8.97770331379,-1.1303330746
62,507.0114,0.655,8.17952903219,-0.93228699559
63,507.0114,0.6575,7.07427818675,-1.15274407771
64,507.0114,0.66,6.33815530723,-1.16008478801
65,507.0114,0.6625,5.62271348085,-0.960411745523
66,507.0114,0.665,4.70062203387,-1.15277633451
67,507.0114,0.6675,3.46061768179,-1.15854081192
68,507.0114,0.67,3.41292652659,-1.17427877824
69,507.0114,0.6725,1.57496729653,-1.68246999151
70,507.0114,0.675,1.38819296803,-1.13316659343
71,507.0114,0.6775,0.31426636225,-1.15774627668
72,507.0114,0.68,-0.786645060977,-1.26736270018
73,507.0114,0.6825,-1.39810495303,-1.27966803638
74,507.0114,0.685,-1.60701741313,-1.22919949362
75,507.0114,0.6874,-3.03584674141,-1.38213915447
76,507.0114,0.69,-2.9571745585,-1.485314332
77,507.0114,0.6925,-2.07529256727,-1.33998211246
78,507.0114,0.695,-0.667445926464,-1.30322627281
79,507.0114,0.6975,1.45592976322,-1.3242803565
80,507.0114,0.7,3.83498514247,-1.52614584788
81,507.0114,0.7025,5.06521994109,-1.15900505004
82,507.0114,0.705,5.14425412659,-1.33433786868
83,507.0114,0.7075,5.69183514029,-1.22320689094
84,507.0114,0.71,5.43839493918,-1.22570686393
85,507.0114,0.7125,5.69007795306,-1.39856027766
86,507.0114,0.715,5.46711630229,-0.990204746169
87,507.0114,0.7176,5.66369323721,-1.30910403117
88,507.0114,0.72,5.69426026266,-1.35587268925
89,507.0114,0.7225,5.36552474061,-1.5804549251
90,507.0114,0.725,5.50061950834,-1.23904858024
91,507.0114,0.7275,5.3384264226,-1.49008548807
92,507.0114,0.73,5.67165019099,-1.26749982822
93,507.0114,0.7325,5.6347341436,-1.15223200435
94,507.0114,0.735,5.73737942962,-1.18205932985
95,507.0114,0.7375,5.53739490185,-1.1848094267
96,507.0114,0.74,5.40170824091,-1.0150963456
97,507.0114,0.7425,5.75041530973,-1.52020606008
98,507.0114,0.7451,5.55049363627,-1.44117622579
99,507.0114,0.7475,5.56316478044,-1.14008548289
100,507.0114,0.75,5.74981733165,-1.06140262086
101,507.0114,0.7525,5.31656893252,-1.09124441438
102,507.0114,0.755,5.48446161621,-1.47391660896
103,507.0114,0.7575,5.36194731058,-1.00593284716
104,507.0114,0.76,5.49992508428,-1.07270944152
105,507.0114,0.7625,5.46429516751,-1.35135967717
106,507.0114,0.765,5.1378963522,-1.13519136675
107,507.0114,0.7675,5.52092643129,-0.998874099707
108,507.0114,0.77,5.50747990301,-1.07130077879
109,507.0114,0.7725,5.37912915528,-1.08566298512
110,507.0114,0.775,5.26776558989,-1.28564011796
111,507.0114,0.7775,5.59154264828,-1.24235077411
112,507.0114,0.78,5.35211957081,-1.02491489483
113,507.0114,0.7825,5.54426276898,-0.956604917747
114,507.0114,0.785,5.10868450263,-1.24091827794
115,507.0114,0.7875,5.51271668626,-1.32224568839
116,507.0114,0.79,5.16799630089,-1.13680732788
117,507.0114,0.7925,5.26696772329,-1.22169433866
118,507.0114,0.795,5.37158047907,-1.28221201853
119,507.0114,0.7975,5.66680170642,-1.30052203818
120,507.0114,0.8,5.33318163715,-1.24075564601
121,507.0114,0.8025,5.23928423054,-1.32506114518
122,507.0114,0.805,5.34736999678,-0.909900643137
123,507.0114,0.8074,5.36750432324,-0.781556563682
124,507.0114,0.81,5.44562437769,-1.24239787723
125,507.0114,0.8125,5.02719699778,-1.17083496221
126,507.0114,0.815,5.27835507367,-1.25525954182
127,507.0114,0.8175,5.07287694331,-1.15968322699
128,507.0114,0.82,5.28958817945,-1.00434221252
129,507.0114,0.8225,5.23711614228,-1.2575205594
130,507.0114,0.825,5.35662365694,-1.0491247369
131,507.0114,0.8275,5.2977361832,-1.33609205042
132,507.0114,0.83,5.3710752372,-0.951517330218
133,507.0114,0.8325,5.37535487031,-0.984065001187
134,507.0114,0.835,5.35722609814,-1.37634634411
135,507.0114,0.8375,5.44773314328,-1.38246963522
136,507.0114,0.84,5.40981538266,-1.08994736714
137,507.0114,0.8425,5.39008360283,-1.07761796128
138,507.0114,0.845,5.22930843077,-1.52563784359
139,507.0114,0.8475,5.19848848384,-0.918292355121
140,507.0114,0.85,5.08960822568,-1.21200905977
141,507.0114,0.8524,5.12704590843,-1.10035341677
142,507.0114,0.8551,4.97184522801,-1.26290110899
143,507.0114,0.8575,5.12676227587,-1.16037112131
144,507.0114,0.86,5.47350414754,-1.16064410468
145,507.0114,0.8625,5.11380067133,-1.08529357415
146,507.0114,0.865,5.15108741604,-1.01673173662
147,507.0114,0.8675,5.48550751727,-1.09289950728
148,507.0114,0.87,5.24140941298,-0.985333473775
149,507.0114,0.8725,5.05930739826,-1.34645635273
150,507.0114,0.875,5.41552818733,-1.12312498508
151,507.0114,0.8775,5.15575195895,-1.09414875657
152,507.0114,0.88,5.33952618228,-1.14190010075
153,507.0114,0.8825,5.15732485719,-0.986797910175
154,507.0114,0.8849,5.07479616257,-1.18546414786
155,507.0114,0.8875,5.3475784967,-1.18017976826
156,507.0114,0.89,5.13246938009,-1.13057903261
157,507.0114,0.8925,4.98057953882,-1.29157756755
158,507.0114,0.895,5.21154614041,-1.00762744399
159,507.0114,0.8975,5.31773282449,-1.01183324442
